image,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49
微信图片_20251122072123_28_1274.jpg,-5.384903,-2.9704154,-5.5703764,9.2859535,-6.7022314,-0.055735298,-0.17568053,-2.395627,-1.1193333,1.392613,-5.3034124,2.649419,-1.1144096,1.1608505,-6.6426373,2.38377,0.46944338,-4.444648,-3.7412493,-3.9911923,-0.95561916,-2.4189646,9.601858,3.712881,11.6923685,6.2478495,-2.9810898,-4.8470016,-7.552045,-3.2755797,7.9614906,1.1623032,-10.104402,-8.146245,2.5779483,7.6838703,9.47242,10.964555,-10.59367,-1.2930692,-3.654278,-0.31222674,11.828576,3.6613784,-7.384979,-3.2316346,-1.3641573,2.2675035,-1.4895319,6.1124163
微信图片_20251122072124_29_1274.jpg,-0.059312087,0.65198195,-10.126263,-3.0620844,6.1263475,-3.6166735,3.8322072,7.8549185,-1.6503831,-4.1811585,1.1914889,-0.33213174,-1.6011353,2.5265567,8.996604,3.0620859,-1.9681817,-2.9760704,10.250889,1.5456653,-3.8142748,-2.611715,-4.188564,3.923534,0.86396384,1.9111613,-5.1901298,0.4762947,1.0264736,1.0429964,5.3099637,0.22376049,1.5288649,-0.2066456,2.0740185,-7.460516,-4.5169883,2.3946762,-2.2774882,-0.57631594,2.3558712,-2.8302999,3.5846443,-7.6612263,0.61040336,3.4631562,0.4204989,-6.403399,-0.26533866,1.0431465
微信图片_20251122072340_30_1274.jpg,-3.3966098,9.488339,0.30595687,-7.759496,-10.785888,-4.831188,-3.631595,-4.110725,-2.0304432,-1.147532,-0.80489385,-2.8397799,1.9361616,1.0270039,-0.8056134,-2.7229302,1.7295942,1.7007068,0.6713303,1.6156884,2.2344027,-1.9022255,-1.6327909,-0.8885186,-2.7826395,-3.1233928,-3.570025,-0.08978733,-0.28196794,-1.6150672,-1.2142688,1.6407508,-2.34097,2.8620663,0.3323333,2.6300719,1.6511157,3.6394134,4.359817,-2.493448,-1.2222782,2.339812,-1.7677205,-0.45765305,-2.5352135,0.95410275,-1.7891352,-3.4718058,-2.6215649,-0.43555295
微信图片_20251122072341_31_1274.jpg,1.6538638,15.885825,5.143356,-6.0422435,-9.2520275,-3.8853438,3.1316211,-4.9914045,0.12516947,-1.4127145,-3.0421429,-1.8839413,3.13381,2.0695918,-1.0410739,-0.14531118,-1.4151105,6.1941156,-3.4882514,3.3361797,-1.216486,1.316213,-6.2892137,-0.5649276,-1.0341812,1.4235159,-5.4117055,0.85414606,-4.3145328,-2.1875725,0.38776726,1.0688616,1.9675266,-3.686327,-0.8459046,-2.6516938,6.1823373,4.619665,1.8405751,-3.939902,-0.054948192,0.6515375,-8.532397,1.0219018,0.91229707,-5.599691,6.687201,1.5566458,1.7544618,2.387592
微信图片_20251122072344_32_1274.jpg,-6.8713255,-2.4805338,-4.918093,-4.1454086,-0.47213176,2.3992705,-5.4849925,3.7639563,-3.2184336,-0.68671954,-1.8818657,0.47595084,-0.32562342,-0.63128155,-0.9416143,-0.2888703,-4.0341783,2.5661697,1.1638258,-2.1781726,-4.9450655,-2.355245,-2.292048,-1.7468764,0.015832476,-3.3380742,-0.9024336,-0.072272934,-2.782734,1.0268692,4.2365417,0.27727234,-1.12118,1.8617901,-0.06069281,-0.8733407,-0.26539025,0.6419233,-1.387328,0.14651737,-0.9354189,-2.9924817,-0.5425856,-0.2919051,2.6661325,-2.2943552,-0.2270668,-4.315553,-0.8057871,3.3181255
微信图片_20251122072347_33_1274.jpg,-6.5005417,2.5383651,-1.7921115,-2.7870603,-4.1055746,2.338368,-10.092825,-2.180002,-2.7185302,-2.0533664,-1.5020068,0.8747439,-0.22170913,-0.648146,-1.2415397,-0.42223114,-0.7308064,1.6015775,-0.76545894,0.9052916,-3.4654632,-0.83457065,-0.21067268,-0.612378,2.6295981,-5.808682,0.06765827,1.9948032,0.672135,0.5582291,-0.32366252,0.8276269,-0.11547028,3.3057678,-0.027927993,1.5175127,2.7841737,0.5502883,-0.8770069,0.99912554,-0.6761921,-2.5823462,-0.13883695,0.37565938,2.5747604,-1.795572,-0.50870895,-2.1902022,-1.5380607,1.3570793
微信图片_20251122072349_34_1274.jpg,3.8126464,17.918367,4.8456793,-5.834549,-13.749832,-9.926004,3.7340686,-5.316587,3.1187422,-0.99256223,1.5758805,-4.9128575,-0.9541143,4.5929923,-4.1601443,-1.737077,-1.991806,0.88398343,-1.0218796,0.47964996,-1.142131,-0.18269986,1.0554969,-1.0366734,-4.824142,-0.11431381,-3.2044199,0.41883186,-2.6281903,0.22257952,-0.6929566,1.7448068,0.35231012,-0.6613623,-2.3238008,-3.4375224,6.9104495,2.9797645,1.1809638,-4.71788,3.1635227,-0.2559641,-9.0246725,3.554986,1.3802356,-6.168828,3.8790731,1.9132291,1.1391085,1.4309034
微信图片_20251122072352_35_1274.jpg,-4.931419,-1.2929163,-3.3363948,-4.221031,-7.115814,0.034083933,-4.183212,6.598276,-4.5586286,-0.11786741,0.039235476,-0.7103151,-0.52424294,1.1225643,-1.3446292,2.4474256,-4.3666706,1.1825701,0.35279846,0.40862423,-2.0643806,1.1528307,1.5667853,4.3361974,-1.8524106,-2.0420816,0.27582306,-2.4719718,-3.6109772,6.666969,-1.1910512,1.1963475,0.13996828,-2.7289875,0.70213175,-0.5518744,2.7671437,-2.3825269,-0.31733206,1.5121706,5.512628,3.2307587,-0.46670556,-0.9089622,-1.7113608,-1.6448097,1.2590241,-2.4245634,-0.028057003,2.0427325
微信图片_20251122072355_36_1274.jpg,-4.825361,-2.1368103,-9.503692,-5.0966134,-1.1910946,0.035474386,-3.3713377,10.377657,-4.4130588,-2.8687224,-0.12810354,2.7328558,-1.0261085,0.41498205,2.3470507,2.3963878,-7.0189486,1.3771533,3.62043,0.30156738,-1.8364588,1.101377,-2.3064237,3.2570293,-1.746902,-3.5319738,0.16295029,0.44972765,-4.435703,4.981235,0.024907658,2.5026462,2.1172109,0.29274985,-0.13444312,1.0914801,-0.141575,-3.716692,-0.9065061,-1.4032127,-2.4685047,-0.6362125,-1.1006764,-1.8629671,0.50711274,-5.6849017,0.6027629,-2.591793,1.9124124,1.3263918
微信图片_20251122072357_37_1274.jpg,-5.7511334,-3.7963364,-9.4510145,-5.6615715,-2.258269,-0.79576147,-3.562032,7.991365,-6.7448378,-0.8612856,-0.760336,1.3512356,-1.6372167,1.4491912,0.73625314,1.5240204,-3.579997,-0.7876874,1.9255224,-1.2343768,-2.5913494,1.2338629,-1.4896761,1.963691,-3.0338807,-3.637331,1.1852396,-0.8489713,-5.795315,4.5979295,0.83175075,0.44304723,-0.8230612,1.9743611,-0.23973027,0.8485744,-2.2415152,-1.8968191,-1.4427515,0.23317915,-1.23512,0.604302,-0.66442347,-0.35887915,0.41630855,-4.019844,1.8480325,-3.5993533,0.16301648,1.8075784
微信图片_20251122072400_38_1274.jpg,8.389181,23.18347,0.8407761,-8.951393,-11.591966,-15.355687,9.834542,-4.2127004,-2.7998843,-0.01700214,0.8046124,-5.3653955,5.2324133,7.8677588,5.9019938,-5.2842197,-2.1126971,0.44063976,5.995106,5.454904,3.9068992,-3.0692506,-1.493276,-0.116846696,-8.146784,-0.06574091,-9.263021,-2.0150425,2.4554121,-4.205828,-5.9798913,-3.6645532,-6.595247,5.8740907,-2.016983,-4.478277,-0.5719566,5.9181304,0.19814606,-3.714224,-4.833964,3.908946,-1.0987785,2.6544616,-5.6365595,6.212823,3.252852,0.5558891,-6.161899,2.3460817
微信图片_20251122072402_39_1274.jpg,-5.2641573,0.36171278,-4.247957,1.9825809,-6.2666464,-1.5540664,-1.1418525,-0.91603297,-1.3875519,-0.77554965,-1.4483925,1.8977591,1.1934059,-0.2089904,-1.2071866,-2.6091094,0.82957864,-7.145888,1.6339774,-0.31932786,-1.0999663,-1.4753879,6.564388,2.5292695,5.9743586,-0.13831507,-0.5091594,0.9988476,-1.5571433,-2.0615692,3.8168547,1.4284552,-2.4229128,-5.8234606,-5.5558977,-0.24972424,-1.2825089,4.8385525,-5.126062,0.29227293,-2.898994,0.28478628,-0.23065323,-0.033599515,-9.316225,1.5844613,0.6537203,5.6817093,5.2655954,-5.8232903
微信图片_20251122072405_40_1274.jpg,6.825803,18.189602,5.6513104,-2.0578177,-9.487825,-5.8472567,0.034897774,-1.4677532,4.9366965,-3.9511325,1.9019009,4.37093,-6.2657332,-3.414541,-7.26144,3.646727,6.2650366,-6.0247083,-8.780225,3.3391197,-9.386582,-3.5028472,-2.1018875,-3.5145566,-0.5433048,-5.2029605,-0.55913943,19.108486,-12.278715,-7.317122,-3.1056225,4.5597634,10.237899,-9.742833,18.154888,-7.060957,0.47411555,-3.6073136,0.70426583,-1.3529195,-2.617599,2.460996,4.710188,6.069418,2.5639775,4.7237697,-3.8679316,-1.2658948,-0.2695188,-0.9788633
